Country,Annual CO2 emissions (ppm),Year,Deforestation Rate,"Plastic waste generation (tonnes, total)",PM2.5 air pollution(micrograms per cubic meter)
Lithuania,13.55446266,2019,-16.19813165373135,149227,16.71785779
Madagascar,4.281281379,2019,-9.13154832184343,123526,21.47496474
Malaysia,254.52653840000002,2019,-6.956975539415133,2031675,17.60771452
Maldives,1.522945103,2019,0.0,43134,26.86188561
Malta,1.5834148140000002,2019,25.14285714285713,32377,12.14084395
Marshall Islands,0.15074837300000002,2019,3715.322171324201,3674,11.08607034
Mauritania,2.661482711,2019,-33.14679432975824,59287,123.63458440000001
Mauritius,4.854957355,2019,-5.829072292733195,104971,14.46305346
Mexico,477.32221880000003,2019,-6.75972865818566,3725463,18.82910389
Montenegro,2.008386243,2019,575.5445781755534,32557,20.35568996
Morocco,66.30976675,2019,4.478158833668111,863555,25.41198462
Mozambique,8.286042829,2019,-14.742477747622774,132612,20.98722687
Myanmar,26.33463939,2019,-26.479557595293592,1373018,48.81135881
Namibia,4.272434613,2019,-23.48295217557258,114222,25.89244374
Netherlands,161.62396040000002,2019,6.728636373307584,2571398,15.23005009
New Zealand,34.76578437,2019,5.453577398541487,525630,5.525446595
Nicaragua,5.57139683,2019,-45.1890200798001,299480,22.70884868
Nigeria,127.2941929,2019,-17.853517037873424,5961750,122.47844199999999
North Korea,30.21855864,2019,-12.452347570431133,484700,36.01527573
Norway,44.32631608,2019,0.33135507524648666,499682,7.874067599
Oman,67.29107994,2019,-13.33333264555554,93251,77.9621781
Pakistan,223.5403992,2019,-24.455611720271975,6412210,75.75074243
Palestine,3.2095166489999998,2019,11.674008794800962,87636,18.901415
Panama,10.93820216,2019,-8.294178929350437,192818,14.12599776
Papua New Guinea,7.837881635,2019,-1.401627159892016,267234,13.67788256
Peru,55.53142533,2019,-5.1607761209439555,1543879,26.0545956
Philippines,135.06905690000002,2019,-8.036036387051816,2565766,23.213494100000002
Poland,343.5379666,2019,6.624634071881186,1346905,25.59991261
Portugal,50.92539194,2019,-2.5595763521449766,1022683,9.491198111000001
Qatar,105.6228946,2019,,103933,148.24139830000001
Romania,74.06071566,2019,8.671040632522708,310385,19.06441498
Russia,1710.688236,2019,65.42820256945818,5839685,15.5005356
Saint Lucia,0.42065400700000005,2019,-2.3507287225477014,32882,17.3478258
Saint Vincent and the Grenadines,0.22335611,2019,3.631082056407542,8818,17.37431954
Samoa,0.258977974,2019,-7.937319027501289,7000,3.857072798
Sao Tome and Principe,0.12372764300000001,2019,-10.406004781985667,6571,15.42765659
Saudi Arabia,621.3020735,2019,0.0,1561618,187.8713608
Senegal,11.71090346,2019,-12.845097793129623,485586,56.76633608
Seychelles,0.655244159,2019,0.0,11730,14.838850099999998
Sierra Leone,1.0781764090000001,2019,-18.296926462275188,96655,42.13067105
Singapore,40.86161873,2019,6.227869598886082,359483,25.02850236
Slovenia,14.43177804,2019,53.77066412842537,108421,17.82350883
Solomon Islands,0.177805773,2019,-0.8334282915291036,19842,8.515828391
Somalia,0.6989271029999999,2019,-26.87292484619498,237569,23.88828751
South Africa,467.5621324,2019,-5.818513723045982,4465798,35.91247747
South Korea,658.7877448,2019,-3.877270645902875,2025772,28.68182353
Spain,268.2338112,2019,33.5377635859446,4709157,9.960824015
Sri Lanka,23.36846295,2019,-9.962430822864532,2621606,25.63520757
Sudan,21.04612454,2019,-70.69359485918096,1292740,77.72107205
Suriname,1.7868227380000001,2019,-1.1072187352897833,31300,21.53247349
Sweden,41.02685124,2019,-0.295763113556069,164305,5.195282483
Tanzania,12.49891712,2019,-19.47378994882619,386998,22.34930727
Thailand,288.2291602,2019,2.838696334325075,3532495,23.172589600000002
Togo,3.41796502,2019,-10.974105123755805,135294,84.14439034
Tonga,0.135287002,2019,0.0,8476,3.9935939260000004
Trinidad and Tobago,43.4771408,2019,-5.556473603828616,1745123,16.81227296
Tunisia,31.57656788,2019,8.885893269087553,559235,35.56567907
Turkey,428.17958610000005,2019,11.721234074964105,5596657,37.25391764
Ukraine,225.0181753,2019,40.883408446706085,1724509,19.20606229
United Arab Emirates,205.6023265,2019,29.510204076781644,600741,105.12373590000001
United Kingdom,379.0398919,2019,14.578833742679386,4925590,11.52028708
United States,5416.277883,2019,2.4483385837900995,37825550,9.196934123
Uruguay,6.94386017,2019,151.72932321730923,310379,11.52339849
Vanuatu,0.15461371599999998,2019,0.0,25443,8.848735261
Venezuela,138.7646024,2019,-10.965055938607826,2669998,26.33118091
Vietnam,206.66089480000002,2019,54.93713709377717,3268227,26.28590641
Yemen,10.140644199999999,2019,0.0,887497,72.55386478
