,Entity,Code,Year,HIV Deaths,HIV Incidences,Life expectancy,Population,TB Deaths,Child Mortality,Cardiovascular Deaths
64,Germany,DEU,2016,464.54515539999994,6432.819723,81.32600000000001,83517000,463.5850808999999,317364.6,31420405.606344298
65,Ghana,GHA,2016,13877.6961,23103.79044,64.074,30418000,9142.172982,1788578.4,5524401.8362366
66,Greece,GRC,2016,29.57450181,514.0533849,82.23899999999999,10473000,149.3672396,39797.4,4432410.600848099
67,Grenada,GRD,2016,6.14760484,6.4855544389999995,72.39699999999999,112000,0.7335593909999999,1792.0,40295.3246752
68,Guam,GUM,2016,4.2904930189999995,7.526771586000001,80.074,167000,2.984486095,1685.364,69111.5496215
69,Guatemala,GTM,2016,700.4099139,2309.361324,74.30199999999999,17581000,408.1677324,501058.5,2962453.5425948
70,Guinea,GIN,2016,2988.840766,5699.478413,61.602,12771000,5916.906958,1136619.0000000002,1903569.4347416998
71,Guinea-Bissau,GNB,2016,1440.2772519999999,2331.9897530000003,58.321999999999996,1921000,861.1124171,169240.10000000003,275563.91536
72,Guyana,GUY,2016,195.85406980000002,599.8123364,69.906,783000,48.37233044,25369.200000000004,286557.7585104
73,Haiti,HTI,2016,3850.051488,7910.366134999999,64.001,11263000,1021.085436,754621.0,3045730.9157338
74,Honduras,HND,2016,62.87266483,478.9351397,75.27,9746000,426.0814937,182250.2,2876249.6295258
75,Hungary,HUN,2016,39.80637314,128.2229533,76.875,9685000,67.72108815,50362.0,4540478.2095075
76,Iceland,ISL,2016,0.8513985620000001,20.13514471,82.993,339000,1.527751591,711.9,113555.37782400001
77,India,IND,2016,52105.68342,99373.53822999999,69.656,1366418000,449794.3814,58755973.99999999,363036987.68971604
78,Indonesia,IDN,2016,6774.260340999999,17744.41187,71.71600000000001,270626000,82218.57953999999,7144526.4,98520042.9548154
79,Iran,IRN,2016,791.7835758,3146.284307,76.67699999999999,82914000,804.0874952,1252001.4000000001,35200784.955710396
80,Iraq,IRQ,2016,115.70376920000001,228.54601680000002,70.604,39310000,702.4378525000001,1226472.0,11128563.821749002
81,Ireland,IRL,2016,9.787208013999999,562.4044759,82.305,4882000,32.31315366,17575.2,1534119.0004256
82,Israel,ISR,2016,41.43986284,687.6528658,82.97200000000001,8519000,26.47408085,30668.399999999998,2209933.3351417
83,Italy,ITA,2016,660.5651737000001,7141.39882,83.512,60550000,385.88302910000004,199815.0,21080272.815350004
84,Jamaica,JAM,2016,439.5076098,1279.973092,74.475,2948000,14.96651962,45104.4,913612.6308452
85,Japan,JPN,2016,206.79789069999998,1462.750221,84.62899999999999,126860000,3870.2585689999996,342522.0,34041896.211192
86,Jordan,JOR,2016,22.92850259,53.68172243,74.52600000000001,10102000,46.05598176,177795.2,3311130.5317224
87,Kazakhstan,KAZ,2016,258.1846063,2502.000582,73.597,18551000,875.9636098999999,211481.39999999997,9281732.028505301
88,Kenya,KEN,2016,48502.49609,92787.44238,66.699,52574000,14880.82478,2586640.8,6550035.1557414
89,Kiribati,KIR,2016,0.49007792299999997,0.700446675,68.369,118000,53.5041876,6407.4,31602.3635672
90,Kuwait,KWT,2016,5.418508183999999,15.37125806,75.48899999999999,4207000,23.24306247,35338.799999999996,1683191.0351809
91,Kyrgyzstan,KGZ,2016,186.5394991,903.8329447999998,71.45,6416000,456.6192659,135377.59999999998,3133487.7211232
92,Laos,LAO,2016,526.3224903,801.8894091,67.923,7169000,1550.533739,458099.1,2069147.1987839001
93,Latvia,LVA,2016,126.4496125,457.6249039,75.292,1907000,59.95901529999999,8772.2,1051183.4831963
94,Lebanon,LBN,2016,112.50397720000001,254.3032865,78.93,6856000,35.81090841,55533.600000000006,2878012.7680472
95,Lesotho,LSO,2016,6331.119308,12665.20601,54.331,2125000,1932.0872350000002,198687.5,337391.4092875
96,Liberia,LBR,2016,1840.255362,2359.289647,64.104,4937000,1494.630027,332753.8,699392.704437
97,Libya,LBY,2016,103.283567,188.8764758,72.913,6777000,72.27312595,87423.3,2622400.6717160996
98,Lithuania,LTU,2016,66.99807246,135.15502790000002,75.933,2760000,185.55999409999998,14628.0,1501607.7610799999
99,Luxembourg,LUX,2016,2.4074204740000003,95.58903389,82.25,616000,1.8806174169999998,1478.3999999999999,194834.20245520002
100,Madagascar,MDG,2016,2534.9468739999998,8799.275871,67.041,26969000,4052.423197,1251361.5999999999,5044448.5551743
101,Malawi,MWI,2016,21935.14535,28598.98078,64.263,18629000,7224.686583,1026457.8999999999,2161516.3889709003
102,Malaysia,MYS,2016,1579.199567,4372.840569,76.156,31950000,1281.14788,265185.0,11084008.332464999
103,Maldives,MDV,2016,0.7551685770000001,1.214063095,78.921,531000,7.973631586000001,4513.5,194964.6741003
104,Mali,MLI,2016,5806.519961,7777.5778629999995,59.306000000000004,19658000,3522.8881549999996,2174174.8000000003,1908727.1165304799
105,Malta,MLT,2016,1.625886936,98.44631263,82.53,440000,1.233906306,2992.0,172925.17620399996
106,Marshall Islands,MHL,2016,2.713310256,7.665772286,73.696,59000,4.621145347,2088.6,21763.134379600004
107,Mauritania,MRT,2016,19.60169793,69.32624637,64.925,4526000,542.182631,368416.4,886105.3884961999
108,Mauritius,MUS,2016,95.80595653,298.3040472,74.991,1270000,14.82743085,17399.0,406798.979009
109,Mexico,MEX,2016,5575.206657,19836.380380000002,75.054,127576000,2619.276303,1862609.6,29015991.149473596
110,Micronesia (country),FSM,2016,30.41759266,74.10037705,67.883,114000,6.855276999,3796.2000000000003,40465.513552799996
111,Moldova,MDA,2016,173.3920239,774.5418651000001,71.90100000000001,4043000,240.33191609999997,64283.700000000004,2243142.8296368
112,Mongolia,MNG,2016,19.88732681,60.16951836,69.87,3225000,367.3539399,57727.5,1181464.7212500002
113,Montenegro,MNE,2016,1.3583797309999999,6.6150374229999995,76.884,628000,4.655279864,2386.4,360979.0677984
114,Morocco,MAR,2016,602.4715798,1108.770057,76.68,36472000,4882.781681,988391.2,19022359.3228904
115,Mozambique,MOZ,2016,62135.387460000005,133050.098,60.854,30366000,19234.00536,2165095.8000000003,3529752.2696016002
116,Myanmar,MMR,2016,5345.8662939999995,9706.354961,67.134,54045000,13539.528040000001,2745486.0,10214406.0922455
117,Namibia,NAM,2016,3960.461425,9402.159419,63.708,2495000,869.1124502999999,112774.0,440922.2969325
118,Nepal,NPL,2016,2619.360638,2238.946025,70.778,28609000,4796.009419,987010.5000000001,7708820.5805701995
119,Netherlands,NLD,2016,55.54210146,530.7867147,82.28299999999999,17097000,92.86453285,64968.6,4560851.955452399
120,New Zealand,NZL,2016,9.979438262,185.65919540000002,82.288,4783000,17.98757468,25828.2,1597894.6789242
121,Nicaragua,NIC,2016,590.4061918,1959.110012,74.485,6546000,138.0358563,128956.2,1704233.1292662001
122,Niger,NER,2016,1950.5202969999998,1945.967354,62.42,23311000,5808.679526,2128294.3000000003,1888094.70249211
123,Nigeria,NGA,2016,169102.548,216613.5967,54.687,200964000,57219.481510000005,20960545.2,15531033.963335041
124,North Korea,PRK,2016,896.9549599999999,1189.304387,72.274,25666000,2713.430397,513320.0,9854800.812999
125,North Macedonia,MKD,2016,1.6601232959999999,9.330957326,75.797,2083000,32.14149108,25412.6,1146438.446745
126,Norway,NOR,2016,14.7837207,292.0139433,82.404,5379000,39.5760826,13985.4,1675264.3154973
127,Oman,OMN,2016,134.7399818,595.0856271,77.861,4975000,17.89976375,53232.50000000001,1837053.45162
128,Pakistan,PAK,2016,5306.438654,14910.779669999998,67.273,216565000,44149.897710000005,17065322.0,58317126.063930005
129,Palestine,PSE,2016,10.27481294,19.96377259,74.053,4981000,39.86703747,96631.40000000001,1836641.6698840999
130,Panama,PAN,2016,526.1548455,1870.912266,78.506,4246000,197.6637224,69634.4,1173706.2999332
131,Papua New Guinea,PNG,2016,1323.260601,3049.17096,64.501,8776000,1226.130804,476536.79999999993,2435042.6691199997
132,Paraguay,PRY,2016,761.5756069,1639.6644119999999,74.25399999999999,7045000,229.7116965,140195.5,2119097.2532045
133,Peru,PER,2016,2395.6863719999997,6784.555934,76.736,32510000,2073.5220329999997,497403.00000000006,6356979.518789
134,Philippines,PHL,2016,4184.931407,14259.445619999999,71.23100000000001,108117000,29321.863039999997,2929970.6999999997,35279639.922545105
135,Poland,POL,2016,143.5539657,683.2455906,78.73,37888000,576.8449617,178073.59999999998,16209370.164121602
136,Portugal,PRT,2016,502.47002230000004,7632.863544,82.04899999999999,10226000,223.44864559999996,35790.99999999999,3321057.2908646
137,Puerto Rico,PRI,2016,238.3452049,197.9889121,80.104,2933000,20.07118779,19002.907000000003,717722.1768059001
